Year,Month,Day,Hour,Minute,Second,Spacecraft,ShockType,MagneticFieldRatio,SpeedJump(km/s),ProtonDensityRatio,ProtonTemperatureRatio,AlfvenSpeedUpstream(km/s),MagnetosonicSpeedUpstream(km/s),PlasmaBetaUpstream,ShockNormalX,ShockNormalY,ShockNormalZ,ShockTheta(degrees),ShockSpeed(km/s),MagnetosonicMachNumber
2013,12,15,1,8,9, STEREO-B,FF,1.75,31.75,3.12,3.39,68.18,77.48,0.58,0.99,-0.13,0.11,47.4,321.29,0.59
2013,12,13,12,32,6,     Wind,FF,2.32,36.28,2.36,2.18,16.99,40.17,9.19,-0.83,-0.56,-0.02,53.73,311.95,1.6
2013,12,8,18,22,42, STEREO-B,FF,1.95,108.88,3.3,2.59,76.5,86.53,0.56,0.91,-0.13,0.38,29.29,433.46,1.54
2013,12,8,7,31,51,     Wind,FR,1.89,130.25,2.08,3.12,57.96,80.17,1.87,0.92,-0.39,-0.03,26.15,368.94,2.74
2013,12,1,22,29,46, STEREO-A,FF,2.95,238.5,9.78,5.93,138.46,144.18,0.17,0.9,0.42,0.09,85.66,576.37,1.75
2013,11,30,20,15,33,     Wind,FF,1.4,38.1,1.4,1.19,68.17,84.26,1.12,-0.95,0.03,-0.31,74.82,559.49,1.43
2013,11,22,18,38,30, STEREO-A,FR,1.27,33.75,1.56,1.18,57.55,73,1.22,-0.94,-0.07,-0.32,42.82,336.14,1.13
2013,11,18,18,23,53, STEREO-A,FF,1.58,21.63,1.83,1.09,36.14,54.02,2.52,0.65,0.52,0.55,42.58,244.66,1.07
2013,11,13,17,0,55, STEREO-A,FF,1.7,23.63,2.42,1.78,53.93,65.58,0.96,0.47,-0.39,-0.79,70.86,242.09,0.97
2013,11,11,10,31,57, STEREO-A,FF,1.62,23.38,2.59,1.58,31.85,50.76,3.09,0.6,-0.77,-0.22,52.33,283.13,1.01
2013,11,10,0,26,4, STEREO-A,FF,1.45,48.63,3.07,3.03,69.27,80.45,0.71,0.99,-0.11,-0.05,29.75,479.71,0.88
2013,11,9,15,23,54,     Wind,FR,2.06,61.06,1.63,1.68,51.53,74.22,2.17,0.74,0.33,0.59,82.65,255.43,2.56
2013,11,6,13,37,43, STEREO-B,FR,1.98,115,2.06,1.21,106.54,127.53,0.9,-0.86,-0.37,0.34,73.52,328.75,1.62
2013,11,6,2,0,26, STEREO-B,FF,2.43,100.5,3.45,5.09,49.7,69.98,2.12,1,-0.1,0,36.08,555.3,1.99
2013,11,5,2,43,25, STEREO-B,FF,2.85,62.38,3.42,7.78,53.72,64.69,0.91,0.83,0.31,-0.46,89.57,345.16,1.5
2013,11,4,8,57,25, STEREO-A,FF,2.53,117.25,3.68,5.68,87.73,95.38,0.37,0.96,-0.15,-0.25,60.78,540.82,1.62
2013,11,1,10,55,16, STEREO-A,FF,2.05,56.75,2.83,2.27,55.96,68.86,1.05,0.78,0.31,-0.54,48.78,380.68,1.39
2013,10,31,9,30,18,     Wind,FF,1.3,25.3,1.4,1.18,46.31,62.13,1.6,-1,0.1,0,67.11,417.09,1.28
2013,10,29,13,27,41, STEREO-B,FF,1.59,32.25,1.58,1.37,41.65,57.38,1.86,0.43,0.9,-0.03,40.58,193.24,0.66
2013,10,29,9,33,46,     Wind,FF,1.57,35.09,1.66,1.98,64.93,75.02,0.68,-0.74,-0.67,0.03,57.32,342.5,1.51
